,formula,k_expt
0,BeS,157.0
1,CdS,19.9
2,GaN,181.0
3,ZnO,64.5
4,ZnSe,15.6
5,BAs,2940.0
6,ZnO,64.5
7,BeO,447.0
8,GaAs,32.1
9,SiC,372.0
10,ZnS,36.5
11,GaP,104.0
12,BeO,447.0
13,InAs,25.2
14,CuBr,2.75
15,InP,85.2
16,ZnTe,18.9
17,CuI,7.1
18,CuI,7.1
19,GaSb,32.5
20,MgTe,14.7
21,CuCl,1.26
22,AlSb,77.4
23,GaN,181.0
24,AgI,2.44
25,AlN,235.0
26,AlP,84.0
27,InSb,13.8
28,BeTe,90.4
29,CdTe,6.67
30,CdSe,11.4
31,CuCl,1.26
32,CdS,19.9
33,BP,420.0
34,SiC,372.0
35,BeSe,108.0
36,AlN,235.0
37,CuH,14.4
38,CuBr,2.75
39,InN,105.0
40,AgI,2.44
41,AlAs,86.8
44,Bi2Te3,4.016716418
46,Bi1.2S1.2Ti2S4,2.94
47,Ba0.4Sr0.6PbO3,2.2948
49,Mg2Si0.997Bi0.003,6.16
52,KBi6.33S10,1.3
55,In0.2Co4Sb12,2.4757700000000002
58,Tl2GeTe5,9.07
60,Mo3Te4,3.81187
61,SrDy0.08Ti0.92O3,4.195
65,In1.994Ge0.006O3,9.71545
71,WO2.9,3.0834
72,SrNd0.2Ti0.8O3,5.53
76,TiNiSn,6.0761
78,Fe1.96Ti0.04O3,7.82
80,Ti0.99Nb0.01NiSn,6.8928
84,CeFe3CoSb12,1.91
86,Mg2Si0.994Bi0.006,6.55
106,WO2.722,8.177
109,Tl9BiTe6,0.48100000000000004
117,Tl2SnTe5,5.09
118,NaCo2O4,1.9040000000000001
121,Tl2SnTe5,6.75
122,In0.1Co4Sb12,2.18825
123,CaMnO3,3.56184
124,In1.94Ge0.06O3,8.86791
132,Mo6Te7S,2.7730099999999998
133,CuCr0.98Mg0.02O2,7.5581
135,Cu4.0Mo6S8,1.3479
140,Ca2.97Na0.03AlSb3,1.67
145,Fe1.3Mo6S8,1.4885
146,Ca5Al2Sb6,1.54
149,K2Bi8Se13,1.2851700000000001
157,Ca0.9Bi0.1MnO3,3.5909
159,Sr0.9La0.1TiO3,5.88
165,Ca0.9Ho0.1MnO3,1.637290898
168,Ba8Au6.10Si38.97,2.18
169,ZrNi1.98Cu0.02Sn,7.98
176,AgCrSe2,0.956
177,Sr0.145Ga0.302Ge0.553,0.81
178,CeFe4Sb12,1.55
185,Sn1.2S1.2Ti2S4,2.66
191,Mg2Si0.9985Bi0.0015,7.08
192,CaGd0.96Mn0.04O3,1.78652
198,CaYb0.05Mn0.95O3,1.4902799999999998
199,La0.98Sr0.02CoO3,1.8
200,Ba8Ga16Ge30,1.94
202,CuCr0.95Mg0.05O2,9.5221
206,ZrNi0.76Co0.004Cu0.2Sn,6.02
221,La3Te3.35Bi0.65,1.9669999999999999
223,Zn4Sb3,0.7829999999999999
234,Ca2Co2O5,2.3
236,Ca2.94Na0.06AlSb3,1.65
238,Sr2Ti0.8Nb0.2O4,4.37
240,Zn4Sb3,0.77
243,NbCo1.05Sn,6.8867199999999995
245,Ca2.7Bi0.3Co4O9,2.0
247,Sm0.5Ca0.5MnO3,1.9
248,La0.99Sr0.01CoO3,1.807
250,In2O3,9.6695
255,CaYb0.15Mn0.85O3,1.64488
257,In1.8Ge0.2O3,3.23848
258,Mo6Te6S2,2.1249599999999997
259,Ba8Ga16Ge30,1.7
261,Ca0.7Y0.3MnO3,1.793253904
268,Sb2Te3,5.205245902
269,Ca0.98Bi0.02Mn0.98Nb0.02O3,2.51281
272,Ti0.98Nb0.02NiSn,7.4261
277,In0.2Co4Sb12,2.5704700000000003
279,Bi2Te3,1.468195804
282,In1.998Ge0.002O3,9.1565
286,Cu1.98Se,1.25
287,Mg1.9Ca0.1Si,5.2
307,Pb0.98TeNa0.02,4.29
309,Sr4.5Nb4.5O15.5,2.45
312,NbCoSn,6.904439999999999
315,Zr0.5Hf0.5NiSn,4.087
316,Ag9TlTe5,0.2
317,Nd2Cu0.98Ni0.02O4,9.811
321,Sb0.005I0.015Cs0.995Bi3.98Te5.97,1.5
322,LaFe3CoSb12,1.6
327,Zr0.15Hf0.15Ti0.7NiSn,3.3939999999999997
330,Zr0.94Y0.06NiSn0.96Sb0.04,8.35
333,Mg2Si,4.5
334,Ba8Au5.14Si39.51,1.86
340,Nd2CuO4,29.6
343,In0.25Co4Sb12,2.5585299999999997
345,SrNb0.15Ti0.85O3,5.88
347,Zn0.99Al0.01O,44.495
348,La0.8Sr0.2CoO3,3.69579
354,Na0.02Pb0.98Te0.85Se0.15,3.0142900000000004
361,Ca2.85Na0.15AlSb3,1.59
362,Mg2Si,7.25
363,Tl0.02Pb0.98Te,2.16832
365,Fe0.998Co0.002Si2,5.69
367,SrTi0.8Nb0.2O3,7.96
373,Zn0.95Al0.05O,34.5
374,Zn0.995Al0.005O,44.495
379,Sr0.61Ba0.39Nb2O6,1.6669999999999998
384,Ni2.0Mo6S8,1.7135
385,CaYb0.1Mn0.9O3,1.72527
388,Fe0.978Co0.00196Si1.96Y0.12O0.18,2.86
392,CeFe3.5Co0.5Sb12,2.4
393,Ca3Co4O9,3.51
398,Tl2Cu2SnTe4,0.377
400,In1.985Ge0.015O3,9.41949
402,CaMn0.98Nb0.02O3,2.5
407,Mg2Si0.995Bi0.005,6.55
411,Na0.02Pb0.98Te,3.99643
414,Sr3Ti1.6Nb0.4O7,4.96
416,Zn4Sb3,0.76
419,Ca3AlSb3,1.45
427,SrTi0.8Nb0.2O3,10.42
431,Zn0.98Al0.02O,40.29
438,La0.95Sr0.05CoO3,1.8
441,Mg2Si0.999Bi0.001,8.52
445,Ca0.7Ho0.3MnO3,2.143851851
446,SrNd0.17Ti0.83O3,6.19
448,Ti0.95Nb0.05NiSn,6.9595
451,CaMnO3,16.23
453,CaGd0.94Mn0.06O3,2.84951
456,Ba0.6Sr0.4PbO3,2.3063599999999997
460,CeFe3CoSb12,1.37
469,Sr1.6La0.4Nb2O7,1.8
470,Ba0.3Sr0.6La0.1TiO3,4.07
474,Zr0.5Hf0.5NiSn1.998Sb0.002,2.887113404
481,Ag0.15Sb0.15Te1.15Ge0.85,1.49875
485,NaCo2O4,19.08
487,Ba0.8Sr0.2PbO3,2.74566
488,Ba7SrAl16Si30,2.31
489,Sr0.147Ga0.298Ge0.555,1.216
490,Ca4.75Na0.25Al2Sb6,1.45
491,Sr0.61Ba0.39Nb2O6,1.6669999999999998
493,BaPbO3,3.78035
498,Zr0.25Hf0.25Ti0.5NiSn,3.0626
501,CuCr0.97Mg0.03O2,7.1396
505,Ca4.95Na0.05Al2Sb6,1.49
507,Mg2Si0.6Ge0.4Ag0.02,4.11
509,Zr0.5Hf0.5NiSn1.994Sb0.006,2.766860566
515,Bi2Sr2Co2O8,2.18498
517,CuCr0.99Mg0.01O2,6.9663
531,Sr0.61Ba0.39Nb2O6,1.6669999999999998
532,SrNd0.24Ti0.76O3,5.98
535,LaCoO3,1.87927
536,Zn4Sb3,1.01
538,Nd2Cu0.98Zn0.02O4,17.1
539,Zr0.35Hf0.35Ti0.3NiSn,3.17
543,La2.74Te4,1.24
547,Zr0.4Hf0.4Ti0.2NiSn,3.8139999999999996
549,Mg2Si0.98Bi0.02,7.13
556,Mg2Si0.98Ag0.02,7.83
559,Pb1.8S1.8Ti2S4,2.9
563,Mg2Si0.6Ge0.4Bi0.02,2.98
566,ZnO,48.7
568,Ca0.9Y0.1MnO3,1.488878233
571,Cr1.3Mo6S8,1.9384
572,Ba8Au5.59Si39.01,1.77
574,Ba8Ga16Ge30,1.52
575,Pb0.97Sr0.02TeNa0.01,3.07
579,Ca2.4Na0.3Bi0.3Co4O9,2.0
584,NbCo1.10Sn,5.80227
591,Ba8Ga18Ge28,1.5
594,Zr0.95Nb0.05NiSn,8.8594
597,Ba8Ga16Ge30,2.0
604,Pb0.94Sr0.04TeNa0.02,2.85
606,Ca0.96Bi0.04Mn0.96Nb0.04O3,2.2675
620,La3Te3.8Sb0.2,2.4019999999999997
626,Zn0.9975Al0.0025O,2.78
631,Ca0.7Tb0.3MnO3,2.170001556
632,TiNiSn,7.72
636,In1.9Ge0.1O3,6.84738
637,Yb14MnSb11,0.84
639,In0.05Co4Sb12,2.08661
644,Sb2Te3,3.377777778
649,Ca3Co4O9,2.0
651,ZrNiSn0.98Sb0.02,8.5
656,Fe1.96Sn0.04O3,6.84
657,Na0.02Pb0.98Te0.75Se0.25,2.69643
659,Tl0.01Pb0.99Te,1.9421
661,Mg1.95Ca0.05Si,5.6
666,Cu2Se,0.97
668,Sr0.9Y0.1TiO3,7.0
672,Sm1.7Ca0.3MnO3,1.1
674,Mn1.3Mo6S8,1.4323
682,Fe1.94Ti0.06O3,6.39
683,TlTiPS5,0.7829999999999999
684,In0.3Co4Sb12,2.68777
697,La3Te3.35Sb0.65,1.47
699,La3Te3.65Sb0.35,2.05
703,ZrNiSn,10.1428
707,La2.99Te4,2.46
709,CuCrO2,6.5859
711,Zr0.98Nb0.02NiSn,10.0594
714,Si0.8Ge0.2,2.44922
718,Fe0.978Co0.00196Si1.96Y0.04O0.06,4.59
719,Ca0.9Tb0.1MnO3,1.48358962
724,Sr0.146Ga0.285Ge0.569,1.06
725,Zr0.99Nb0.01NiSn,9.6761
727,Si0.7956Ge0.1989P0.0055,4.139469999999999
729,CuCr0.96Mg0.04O2,9.2934
732,Zr0.5Hf0.5NiSn,3.948955807
736,Ca2.7Na0.3Co4O9,2.0
739,In0.15Co4Sb12,2.29861
743,CaMnO3,2.9898
744,Si0.79936Ge0.19984B0.0008,4.33976
745,CoSb3,13.0
746,Bi2Te3,2.0
747,PbTe,1.91
748,SiGe,7.1
749,BiSbTe3,0.5
750,CeFe4Sb12,15.0
751,Sb2Te3,0.75
752,Yb14MnSb11,1.1
753,TiO2,0.44
754,TiO2,0.38
755,TiO2,0.53
756,TiO2,0.34
757,TiO2,1.11
758,TiO2,0.38
759,TiO2,0.59
760,TiO2,1.29
761,TiO2,1.05
762,TiO2,1.26
763,TiO2,1.05
764,TiO2,0.46
765,TiO2,0.32
766,TiO2,1.21
767,TiO2,0.39
768,TiO2,2.54
769,TiO2,0.38
770,TiO2,1.02
771,TiO2,0.39
772,TiO2,0.87
773,TiO2,0.29
774,TiO2,0.48
776,SiO2,1.6
777,C,108.0
778,MgAl2O4,16.0
779,AlN,36.0
781,B4C,30.0
783,Si3N4,30.0
784,ZrSiO4,8.0
786,TiC,30.0
787,WC,40.0
789,BeO,300.0
790,U2O,12.0
791,Si,150.0
794,SiC,110.0
795,SiO2,6.5
796,SiO2,11.0
797,Al2O3,38.0
798,ZrO2,1.8
799,ThO2,14.0
800,MgO,40.0
