,formula,pearson symbol,space group,mpid,oqmdid,e_form expt,e_form mp,e_form oqmd
771,ZrNi5,cF24,F-43m,mp-2439,669588.0,,-0.32116925,-0.32486008
772,TiPd,cP2,Pm-3m,mp-11546,17970.0,,-0.47762927,-0.48671641
773,Ti3Pd5,tP8,P4/mmm,mp-570199,17974.0,,-0.61720347,-0.62559859
774,TiPd2,oI6,Immm,,21292.0,,,-0.64280199
775,TiPd3,hP16,P63/mmc,,21293.0,,,-0.64955897
776,Zr2Pd,tI6,I4/mmm,mp-266,17990.0,,-0.48842171,-0.48801108
777,ZrPd,cP2,Pm-3m,mp-13496,9972.0,,-0.58775328,-0.58504166
778,ZrPd2,tI6,I4/mmm,mp-1018102,30951.0,,-0.76098711,-0.75783907
779,ZrPd3,hP16,P63/mmc,mp-30842,17991.0,,-0.82334471,-0.8178025
780,HfNi5,cF24,F-43m,mp-569516,19424.0,,-0.34621853,-0.3497438
781,Hf2Ni7,mS26,C12/m1,,,,,
782,Hf9Ni11,tI40,I4/m,,,,,
783,HfNi,oS8,Cmcm,mp-1018056,30515.0,,-0.51942899,-0.51903074
784,Hf2Ni,tI12,I4/mcm,mp-861,88683.0,,-0.34446509,-0.34184014
785,Ag0.610Mg0.390,cP2,Pm-3m,,,-0.040999999999999995,,
786,Ag0.561Mg0.439,cP2,Pm-3m,,,-0.0438,,
787,Ag0.542Mg0.458,cP2,Pm-3m,,,-0.0449,,
788,Ag0.510Mg0.490,cP2,Pm-3m,mp-2696,94482.0,-0.0455,-0.25172764,-0.25753188
789,Ag0.497Mg0.503,cP2,Pm-3m,mp-2696,94482.0,-0.0453,-0.25172764,-0.25753188
790,Ag0.485Mg0.515,cP2,Pm-3m,mp-2696,94482.0,-0.0455,-0.25172764,-0.25753188
791,Ag0.480Mg0.520,cP2,Pm-3m,mp-2696,94482.0,-0.0452,-0.25172764,-0.25753188
792,Ag0.452Mg0.548,cP2,Pm-3m,,,-0.0444,,
793,Hf2Pd,tI6,I4/mmm,mp-11454,17382.0,,-0.53118521,-0.52756749
794,HfPd,cP2,Pm-3m,mp-1002106,307534.0,,-0.62011466,-0.62936267
795,HfPd2,tI6,I4/mmm,,,,,
796,HfPd3,hP16,P63/mmc,mp-11453,17381.0,,-0.88831847,-0.88228811
797,GeRu,cP8,P213,,683580.0,,,-0.27869893
798,ZrRu,cP2,Pm-3m,mp-214,116234.0,,-0.66012382,-0.64287548
799,ZrRu2,hP12,P63/mmc,mp-569979,31033.0,,-0.37699088,-0.37261451
800,Zr3Au,cP8,Pm-3n,mp-11263,10833.0,,-0.34064662,-0.344695
801,Zr2Au,tI6,I4/mmm,mp-2348,18742.0,,-0.41852153,-0.41759104
802,AuZr,,,,,,,
803,Au0.588Zr0.412,,,,,,,
804,ZrAu2,tI6,I4/mmm,mp-1018103,28235.0,,-0.57450582,-0.57476874
805,ZrAu3,oP8,Pmmn,,28234.0,,,-0.49745752
806,ZrAu4,oP20,Pnma,mp-17813,31356.0,,-0.42172582,-0.41869664
807,Al3FeSi2,tI24,I4/mcm,,,-0.2123,,
808,Al2Fe3Si4,oS36,Cmcm,mp-29111,14987.0,-0.3716,-0.43019911,-0.4330145
809,Al0.71Fe0.19Si0.10,hP245,P63/mmc,,,-0.255,,
810,Al0.31Mn0.6Ni0.2,oS156,Cmcm,mp-30179,,-0.2398,-0.22249812,
811,VSi2,hP9,P6222,mp-10711,,-0.4319,-0.48601618,
812,Sn3Ru2,tP20,P-4c2,mp-680677,18093.0,,-0.17968633,-0.22988746
813,Sn7Ru3,cI40,Im-3m,mp-22344,647455.0,,-0.20901573,-0.27008554
814,Si3Ru4,oP28,Pnma,mp-510412,5838.0,,-0.55339038,-0.54075562
815,SiRu,cP2,Pm-3m,mp-381,74704.0,,-0.63762195,-0.6368074
816,Si3Ru2,tP20,P-4c2,mp-20191,16443.0,,-0.615632,-0.60255945
817,AlNb4,cP8,Pm-3n,,,,,
818,Nb2Al,tP30,P42/mnm,mp-18427,10511.0,,-0.28263381,-0.29648968
819,NbAl3,tI8,I4/mmm,mp-1842,18710.0,,-0.42336587,-0.43058276
820,OsTi,cP2,Pm-3m,mp-291,90586.0,,-0.71361444,-0.73613297
821,HfOs,cP2,Pm-3m,mp-11452,17380.0,,-0.70975701,-0.70811812
822,Hf54Os17,oI142,Immm,,,,,
823,Al4Ba,tI10,I4/m,,,,,
824,TiAl3,tI8,I4/mmm,mp-542915,18722.0,,-0.39576492,-0.41231514
825,TiAl3,tI8,I4/mmm,mp-542915,18722.0,,-0.39576492,-0.41231514
826,TiAl2,tI24,I41/amd,mp-567705,18487.0,,-0.42977359,-0.44963193
827,TiAl2,tI24,I41/amd,mp-567705,18487.0,,-0.42977359,-0.44963193
828,TiAl,tP2,P4/mmm,mp-1953,18721.0,,-0.40280557,-0.43603073
829,TiAl,tP2,P4/mmm,mp-1953,18721.0,,-0.40280557,-0.43603073
830,Al0.23Ni0.02Ti0.75,hP8,P63/mmc,,,,,
831,Al0.27Ni0.02Ti0.71,hP8,P63/mmc,,,,,
832,Al0.37Ni0.02Ti0.61,hP8,P63/mmc,,,,,
833,Ni3Sn2,hP6,P63/mmc,,,,,
834,Ni3Sn2,oP20,Pnma,mp-669720,17811.0,,-0.25487862,-0.31329683
835,Ni3Sn,hP8,P63/mmc,mp-20112,17810.0,,-0.19098214,-0.22263402
836,Ni3Sn2,hP6,P63/mmc,,,,,
837,Ni3Sn,hP8,P63/mmc,mp-20112,17810.0,,-0.19098214,-0.22263402
838,Ni3Sn4,mS14,C12/m1,mp-20174,17812.0,,-0.22376278,-0.28860227
839,Sc5Sn3,hP16,P63/mcm,mp-17695,31054.0,-0.7276,-0.68496888,-0.71993662
840,Sn9Ti11,oI44,Immm,,,-0.4498,,
841,V3Sn,cP8,Pm-3n,mp-21342,18133.0,-0.2249,-0.06768964,-0.07946155
842,Y5Sn3,hP16,P63/mcm,mp-567412,31089.0,-0.7545,-0.76823437,-0.80510922
843,Zr5Sn3,hP16,P63/mcm,mp-510522,94311.0,-0.7379,-0.56603354,-0.5993576999999999
844,Nb3Sn,cP8,Pm-3n,mp-1326,17754.0,-0.1575,-0.14884203,-0.19526682
845,Sn7Ru3,cI40,Im-3m,mp-22344,647455.0,-0.1938,-0.20901573,-0.27008554
846,Sn2Rh,tI12,I4/mcm,mp-565,18060.0,-0.4363,-0.39452096,-0.46589572
847,SnPd3,cP4,Pm-3m,mp-718,17954.0,-0.5991,-0.52282047,-0.53933084
848,Hf5Sn3,hP16,P63/mcm,mp-21104,17391.0,-0.5099,-0.37901034,-0.41516328
849,Ir5Sn7,tI24,I4mm,mp-20466,13860.0,-0.1555,-0.25279987,-0.31193171
850,Sn2Ir,cF12,Fm-3m,mp-2083,19398.0,-0.1337,-0.28526758,-0.351585
851,SnPt,hP4,P63/mmc,mp-19856,7829.0,-0.6094,-0.58626824,-0.62787003
852,Pr5Sn3,tI32,I4/mcm,mp-570696,92492.0,-0.7804,-0.67825908,-0.7158068000000001
853,Nd5Sn3,hP16,P63/mcm,mp-510503,647405.0,-0.768,-0.69045193,-0.72797909
854,Sm5Sn3,hP16,P63/mcm,,31076.0,-0.8074,,-0.74505748
855,Gd5Sn3,hP16,P63/mcm,,30420.0,-0.8136,,-0.75843331
856,Tb5Sn3,hP16,P63/mcm,,31084.0,-0.7576,,-0.34830875
857,Dy5Sn3,hP16,P63/mcm,mp-30623,31219.0,-0.7784,-0.72459532,-0.75720558
858,Ho5Sn3,hP16,P63/mcm,mp-30735,17478.0,-0.7618,-0.71602343,-0.75273452
859,Er5Sn3,hP16,P63/mcm,mp-31385,647468.0,-0.7493,-0.70634021,-0.74499058
860,Tm5Sn3,hP16,P63/mcm,,31088.0,-0.7545,,-0.73109966
861,Lu5Sn3,hP16,P63/mcm,,30711.0,-0.7784,,-0.70397538
862,Lu5Sn3,hP16,P63/mcm,,30711.0,-0.7628,,-0.70397538
863,Sc5Ge3,hP16,P63/mcm,mp-17190,647319.0,-0.968,-0.84441926,-0.84486917
864,Cr5Ge3,tI32,I4/mcm,mp-568324,13726.0,-0.1627,0.01164082,0.01146355
865,Y5Ge3,hP16,P63/mcm,mp-17751,10313.0,-0.9307,-0.83198247,-0.83402587
866,Zr5Ge3,hP16,P63/mcm,mp-17706,13725.0,-0.8405,-0.79858593,-0.79984176
867,Nb5Ge3,tI32,I4/mcm,mp-16842,655868.0,-0.7172,-0.46914122,-0.48565297
868,Ge3Mo5,hP16,P63/mcm,,,-0.1731,,
869,GeRu,cP8,P213,,683580.0,-0.2954,,-0.27869893
870,GeRh,oP8,Pnma,mp-22239,646171.0,-0.5897,-0.55039662,-0.55538291
871,GePd,oP8,Pnma,mp-1424,13801.0,-0.4819,-0.46246676,-0.46030866
872,GePd2,hP9,P-62m,mp-423,646837.0,-0.5421,-0.54497816,-0.54239792
873,La5Ge3,hP16,P63/mcm,,8070.0,-0.7027,,-0.69572926
874,Hf3Ge2,tP10,P4/mbm,mp-976273,30438.0,-0.7732,-0.69955296,-0.69728076
875,Ta5Ge3,tI32,I4/mcm,mp-17593,48717.0,-0.4353,-0.36231627,-0.36229547
876,Ge2Os,mS12,C12/m1,mp-10032,8193.0,-0.0383,-0.08637972,-0.0823748
877,GeIr,oP8,Pnma,mp-208,646856.0,-0.3431,-0.31015357,-0.31695899
878,GeIr,oP8,Pnma,mp-208,646856.0,-0.3368,-0.31015357,-0.31695899
879,GePt,oP8,Pnma,mp-542640,2258.0,-0.4705,-0.47655987,-0.47509124
880,GePt2,hP9,P-62m,mp-20061,13687.0,-0.3845,-0.35448466,-0.3551848
881,Cu3Ge,,,,,-0.0425,,
882,Ge8La5,,,,,-0.7815,,
883,Ce5Ge3,hP16,P63/mcm,mp-510493,662552.0,-0.7607,-0.59199312,-0.65986646
884,CeGe1.6,tI12,I41/amd,,,-0.7939,,
885,Pr5Ge3,hP16,P63/mcm,mp-17124,20668.0,-0.7296,-0.68400837,-0.68533545
886,Ge1.6Pr,tI12,I41/amd,,,-0.8468,,
887,Nd5Ge3,hP16,P63/mcm,mp-1464,647275.0,-0.7473,-0.70498837,-0.70618325
888,Ge8Nd5,tI12,I41/amd,,,-0.8312,,
889,Gd5Ge3,hP16,P63/mcm,,8025.0,-0.8499,,-0.77906924
890,Sm5Ge3,hP16,P63/mcm,,30497.0,-0.9411,,-0.74262386
891,Tb5Ge3,hP16,P63/mcm,mp-2610,10064.0,-0.8468,-0.79227955,-0.37857456
892,Dy5Ge3,hP16,P63/mcm,,29859.0,-0.9577,,-0.79716707
893,Ho5Ge3,hP16,P63/mcm,,30444.0,-0.9514,,-0.8021457
894,Er5Ge3,hP16,P63/mcm,mp-11854,18316.0,-0.9908,-0.80121533,-0.80431566
895,Tm5Ge3,hP16,P63/mcm,,30501.0,-0.9463,,-0.80150275
896,Lu5Ge3,hP16,P63/mcm,,30459.0,-0.9649,,-0.79262795
897,NdIr2,cF24,Fd-3m,mp-890,17503.0,-0.7006,-0.69447488,-0.69973281
898,YAl3,hP8,P63/mmc,mp-865527,,-0.4809,-0.43663624,
899,YAl2,cF24,Fd-3m,mp-2322,10612.0,-0.5545,-0.5314414000000001,-0.53390158
900,Y3Al2,tP20,P42/mnm,mp-16723,,-0.4861,-0.35436314,
901,Al4NiY,oS24,Cmcm,,,-0.625,,
902,Sc2Al,hP6,P63/mmc,mp-11220,10540.0,-0.3835,-0.34999804,-0.35194899999999996
903,AlSc,,,,,-0.4768,,
904,ScAl2,cF24,Fd-3m,mp-813,10541.0,-0.4975,-0.48538706,-0.48600004
905,ScAl3,cP4,Pm-3m,mp-2121,18716.0,-0.4508,-0.45116262,-0.45477582
906,AlLa,oS16,Cmcm,mp-12684,647422.0,-0.4768,-0.41285323,-0.41003104
907,LaAl2,cF24,Fd-3m,mp-2694,10483.0,-0.5234,-0.49784908,-0.49709903
908,LaAl3,hP8,P63/mmc,mp-959,10484.0,-0.456,-0.44680690000000006,-0.44815358
909,Al7La2,oI28,Immm,,,-0.4249,,
910,YbAl2,cF24,Fd-3m,mp-969,10617.0,-0.4094,-0.34637732,-0.35140065
911,YbAl3,cP4,Pm-3m,mp-1259,10618.0,-0.3368,-0.17169078,-0.17298079
912,AlSm2,oP12,Pnma,,,-0.3938,,
913,SmAl,oP16,Pbcm,mp-978951,658970.0,-0.5078,-0.39960339,-0.40410721
914,SmAl2,cF24,Fd-3m,mp-2358,10582.0,-0.57,-0.50959215,-0.51399839
915,SmAl3,hP8,P63/mmc,mp-867870,,-0.4975,-0.44082113,
916,ErAl2,cF24,Fd-3m,mp-1208,10452.0,-0.5089,-0.50800421,-0.51084323
917,Al7Ce2,oI28,Immm,,,-0.4094,,
918,CeAl2,cF24,Fd-3m,mp-2088,10402.0,-0.5068,-0.45683008,-0.47386387
919,Ce3Al,hP8,P63/mmc,mp-21393,18919.0,-0.17,-0.15424701,-0.16062138
920,GdAl2,cF24,Fd-3m,mp-19923,10468.0,-0.5327,-0.52226962,-0.52271679
921,AlGd,oS16,Cmcm,,,-0.4084,,
922,AlGd2,oP12,Pnma,,,-0.3596,,
923,CoLaNi4,,P6/mmm,,,-0.2529,,
924,Co2LaNi3,,P6/mmm,,,-0.172,,
925,Co0.42La0.16Ni0.42,,P6/mmm,,,-0.1244,,
926,Co3LaNi2,,P6/mmm,,,-0.115,,
927,Co0.58La0.17Ni0.25,,P6/mmm,,,-0.0881,,
928,Co17Dy2,hR57,R-3m,,,-0.0902,,
929,Co3Dy,hR54,R-3m,,,-0.1378,,
930,Co2Dy,cF24,Fd-3m,mp-2628,20722.0,-0.1803,-0.20161828,-0.21227463
931,Co3Dy5,hR36,R-3m,,,-0.1441,,
932,ErCo3,hR36,R-3m,mp-411,113163.0,-0.1565,-0.20561058,-0.21463602
933,Co2Er,cF24,Fd-3m,,,-0.1948,,
934,CoEr3,hR36,R-3m,,,-0.0725,,
935,Co17Gd2,hP38,P63/mmc,,,-0.0466,,
936,Co5Gd,hP38,P63/mmc,,,-0.086,,
937,GdCo2,cF24,Fd-3m,mp-542633,31242.0,-0.1213,-0.16629482,-0.16700065
938,Co7Gd12,mP38,P121/c1,,,-0.0653,,
939,DyNi5,hP6,P6/mmm,mp-1179,,-0.2601,-0.33433602,
940,DyNi2,cF24,Fd-3m,mp-421,19331.0,-0.3379,-0.45253956,-0.45261573
941,DyNi,oP8,Pnma,mp-2738,89117.0,-0.3462,-0.45827261,-0.46149673
942,Dy3Ni,oP16,Pnma,,29890.0,-0.2301,,-0.24881051
943,ErNi9,hP38,P63/mmc,,,-0.1337,,
944,ErNi5,hP6,P6/mmm,,,-0.2094,,
945,ErNi2,cF24,Fd-3m,,,-0.3244,,
946,ErNi,oP8,Pnma,mp-567314,30015.0,-0.3171,-0.48549384,-0.49334426
947,Er3Ni,oP16,Pnma,,,-0.1772,,
948,GdNi5,hP6,P6/mmm,,,-0.2394,,
949,GdNi2,cF24,Fd-3m,mp-543019,18494.0,-0.3317,-0.40707405,-0.41479822
950,GdNi,oS8,Cmcm,mp-542632,31223.0,-0.2674,-0.39817732,-0.42645779999999994
951,Gd3Ni,oP16,Pnma,,,-0.1441,,
952,TaAlNi2,cF16,Fm-3m,mp-5921,10523.0,-0.4011,-0.46326458,-0.4683723
953,AlNi2V,cP2,Pm-3m,,,-0.4115,,
954,ZrAlNi2,cF16,Fm-3m,mp-3944,10534.0,-0.5203,-0.59657081,-0.6063670999999999
955,FeGaNi2,cP2,Pm-3m,,,-0.257,,
956,GaHfNi2,cF16,Fm-3m,mp-3498,30279.0,-0.7182,-0.55812311,-0.56785364
957,NbGaNi2,cF16,Fm-3m,mp-3539,30304.0,-0.3721,-0.33300579,-0.34667213
958,HfInNi2,cF16,Fm-3m,mp-640024,647474.0,-0.3596,-0.39977053,-0.43095053
959,MnNi2Sn,cF16,Fm-3m,mp-20440,647910.0,-0.3078,-0.17266856,-0.20790812
960,Co2FeAl,cP2,Pm-3m,,,-0.1524,,
961,Ce2Fe17,,,,,-0.0166,,
962,Nd2Fe17,hR19,R-3m,mp-1510,18663.0,-0.0311,0.03668239,0.04087623
963,Sm2Fe17,hR19,R-3m,mp-1426,18642.0,-0.0321,0.01621323,0.02019311
964,Fe2Gd,cF24,Fd-3m,mp-20089,18836.0,-0.0187,-0.07146536,-0.03296878
965,HoFe2,cF24,Fd-3m,mp-1926,31298.0,-0.0269,-0.10130516,-0.09891662
966,ErFe2,cF24,Fd-3m,mp-474,20826.0,-0.0197,-0.12142022,-0.11960373
967,TmFe2,cF24,Fd-3m,mp-571183,17236.0,-0.0228,-0.14341286,-0.13997887
968,Fe2Lu,cF24,Fd-3m,mp-2463,30221.0,-0.0373,-0.17493036,-0.17014908
969,TbDy2Fe6,,,,,-0.141,,
970,Fe5Ga,cI2,Im-3m,,,-0.1078,,
971,TiFe2,hP12,P63/mmc,mp-2454,18688.0,-0.2819,-0.28543016,-0.29783282
972,TiFe,cP2,Pm-3m,mp-305,19423.0,-0.2332,-0.41788011,-0.44919251
973,FeNiTi2,,,,,-0.3545,,
974,LaMg,cP2,Pm-3m,mp-1104,104100.0,-0.21100000000000002,-0.12607536,-0.1153915
975,Co2FeAl,cP2,Pm-3m,,,-0.2332,,
976,GaFeCo2,cF16,Fm-3m,mp-30551,17097.0,-0.2674,-0.22535881,-0.23947064
977,FeCo2Si,cF16,Fm-3m,mp-5436,647048.0,-0.39799999999999996,-0.3497696,-0.36174807
978,FeCo2Ge,cF16,Fm-3m,mp-22300,29249.0,-0.1202,-0.15857999,-0.17199427
979,MnCo2Si,cF16,Fm-3m,mp-4492,647071.0,-0.4394,-0.4354005,-0.44920504
980,MnCo2Ge,cF16,Fm-3m,mp-19850,647056.0,-0.3275,-0.24303171,-0.25696368
981,MnCo2Sn,cF16,Fm-3m,mp-20840,29396.0,-0.1617,-0.10441762,-0.13898515
982,TiAlCo2,cF16,Fm-3m,mp-5407,27707.0,-0.57,-0.61306221,-0.63709835
983,TiGaCo2,cF16,Fm-3m,mp-20145,29293.0,-0.5617,-0.51703112,-0.54134649
984,TiCo2Si,cF16,Fm-3m,mp-3657,647094.0,-0.6364,-0.65953515,-0.68559285
985,TiCo2Ge,cF16,Fm-3m,mp-4612,647063.0,-0.6146,-0.49619322,-0.52142632
986,TiCo2Sn,cF16,Fm-3m,mp-21467,18296.0,-0.39799999999999996,-0.36833086,-0.37173531
987,VGaCo2,cF16,Fm-3m,mp-22790,29296.0,-0.2943,-0.302636,-0.30455297
988,MnAlCu2,cF16,Fm-3m,mp-3574,10435.0,-0.2747,-0.12779898,-0.12939585
989,Cu2NiSn,cF16,Fm-3m,mp-4367,19462.0,-0.1803,0.04125642,0.00643917
990,Fe2CoAl,cP2,Pm-3m,,,-0.2425,,
991,Fe2CoGa,cF16,F-43m,,,-0.1461,,
992,Fe2CoSi,cF16,F-43m,,,-0.4695,,
993,Fe2CoGe,cF16,F-43m,,,-0.0922,,
994,MnFe2Si,cF16,Fm-3m,mp-5529,31335.0,-0.2653,-0.32760082,-0.3390292
995,Fe2NiGa,cP2,Pm-3m,,,-0.1513,,
996,Mn2CoSn,cF16,Fm-3m,,472691.0,-0.2259,,0.11432415
997,Mn2GaCo,cF16,Fm-3m,,472554.0,-0.1202,,-0.08439467
998,Mn2AlV,cF16,Fm-3m,mp-10895,22373.0,-0.2871,-0.31383058,-0.30950568
999,MnInNi2,cF16,Fm-3m,mp-22731,646824.0,-0.2239,-0.09505111,-0.10712478
1000,Ni2CuSn,cF16,F-43m,,,-0.1296,,
1001,MnInCu2,cF16,Fm-3m,mp-22673,29699.0,-0.1948,0.06969568,0.06588514
1002,Cu0.55Ni0.20Sn0.25,cF16,Fm-3m,,,-0.1762,,
1003,Cu0.6Ni0.15Sn0.25,cF16,Fm-3m,,,-0.1337,,
1004,CoFe2Si,cF16,F-43m,,,-0.3876,,
1005,CuFe2Ga,cF16,F-43m,,,-0.1182,,
1006,MnGaFe2,cF16,Fm-3m,mp-1018046,525371.0,-0.057999999999999996,-0.06796609,-0.07357737
1007,Fe2GaNi,cP2,Pm-3m,,,-0.1513,,
1008,Fe2NiSi,cP2,Pm-3m,,,-0.2767,,
1009,Fe2GaV,cP2,Pm-3m,,,-0.3109,,
1010,Mn2GaCo,cF16,F-43m,mp-20160,20349.0,-0.1182,-0.00660202,-0.17154466
1011,Mn2NiSn,cF16,F-43m,,676576.0,-0.2166,,0.04352649
1012,Mn2VGa,cF16,Fm-3m,mp-21235,17257.0,-0.2218,-0.22451226,-0.22432807
1013,Au4In3Sn3,hP10,P63/mmc,,,-0.2176,,
1014,SnAu,hP4,P63/mmc,mp-1775,10120.0,-0.1596,-0.1827522,-0.22961262
1015,Sn2Au,oP24,Pbca,mp-1462,10801.0,-0.1472,-0.12815058,-0.19073514
1016,Sn4Au,oS20,Ccce,mp-1393,19456.0,-0.0819,-0.0691933,-0.14436161
