,formula,gfa
0,Ag100,0
1,Al100,0
2,Au100,0
3,B100,0
4,Be100,0
5,Ca1Ag99,0
6,Ca1Al99,0
7,Ca1Cu99,0
8,Ca1Mg99,0
9,Ca10Ag90,0
10,Ca10Al90,1
11,Ca10Cu90,0
12,Ca10Mg90,0
13,Ca100,0
14,Ca11Ag89,0
15,Ca11Al89,1
16,Ca11Cu89,0
17,Ca11Mg89,0
18,Ca12Ag88,0
19,Ca12Al88,0
20,Ca12Cu88,0
21,Ca12Mg88,0
22,Ca13Ag87,0
23,Ca13Al87,0
24,Ca13Cu87,0
25,Ca13Mg87,0
26,Ca14Ag86,0
27,Ca14Al86,0
28,Ca14Cu86,0
29,Ca14Mg86,0
30,Ca15Ag85,0
31,Ca15Al85,0
32,Ca15Cu85,0
33,Ca15Mg85,0
34,Ca16Ag84,0
35,Ca16Al84,0
36,Ca16Cu84,0
37,Ca16Mg84,0
38,Ca17Ag83,0
39,Ca17Al83,0
40,Ca17Cu83,0
41,Ca17Mg83,0
42,Ca18Ag82,0
43,Ca18Al82,0
44,Ca18Cu82,0
45,Ca18Mg82,0
46,Ca19Ag81,0
47,Ca19Al81,0
48,Ca19Cu81,0
49,Ca19Mg81,0
50,Ca2Ag98,0
51,Ca2Al98,0
52,Ca2Cu98,0
53,Ca2Mg98,0
54,Ca20Ag80,0
55,Ca20Al80,0
56,Ca20Cu80,0
57,Ca20Mg80,0
58,Ca21Ag79,0
59,Ca21Al79,0
60,Ca21Cu79,0
61,Ca21Mg79,0
62,Ca22Ag78,0
63,Ca22Al78,0
64,Ca22Cu78,0
65,Ca22Mg78,0
66,Ca23Ag77,0
67,Ca23Al77,0
68,Ca23Cu77,0
69,Ca23Mg77,0
70,Ca24Ag76,0
71,Ca24Al76,0
72,Ca24Cu76,0
73,Ca24Mg76,0
74,Ca25Ag75,0
75,Ca25Al75,0
76,Ca25Cu75,0
77,Ca25Mg75,0
78,Ca26Ag74,0
79,Ca26Al74,0
80,Ca26Cu74,0
81,Ca26Mg74,0
82,Ca27Ag73,0
83,Ca27Al73,0
84,Ca27Cu73,0
85,Ca27Mg73,0
86,Ca28Ag72,0
87,Ca28Al72,0
88,Ca28Cu72,0
89,Ca28Mg72,0
90,Ca29Ag71,0
91,Ca29Al71,0
92,Ca29Cu71,0
93,Ca29Mg71,0
94,Ca3Ag97,0
95,Ca3Al97,0
96,Ca3Cu97,0
97,Ca3Mg97,0
98,Ca30Ag70,0
99,Ca30Al70,0
100,Ca30Cu70,0
101,Ca30Mg70,0
102,Ca31Ag69,0
103,Ca31Al69,0
104,Ca31Cu69,0
105,Ca31Mg69,0
106,Ca32Ag68,0
107,Ca32Al68,0
108,Ca32Cu68,0
109,Ca32Mg68,0
110,Ca33Ag67,0
111,Ca33Al67,0
112,Ca33Cu67,0
113,Ca33Mg67,0
114,Ca34Ag66,0
115,Ca34Al66,0
116,Ca34Cu66,0
117,Ca34Mg66,0
118,Ca35Ag65,0
119,Ca35Al65,0
120,Ca35Cu65,0
121,Ca35Mg65,0
122,Ca36Ag64,0
123,Ca36Al64,0
124,Ca36Cu64,0
125,Ca36Mg64,0
126,Ca37Ag63,0
127,Ca37Al63,0
128,Ca37Cu63,0
129,Ca37Mg63,0
130,Ca38Ag62,0
131,Ca38Al62,0
132,Ca38Cu62,0
133,Ca38Mg62,0
134,Ca39Ag61,0
135,Ca39Al61,0
136,Ca39Cu61,1
137,Ca39Mg61,0
138,Ca4Ag96,0
139,Ca4Al96,0
140,Ca4Cu96,0
141,Ca4Mg96,0
142,Ca40Ag60,0
143,Ca40Al60,0
144,Ca40Cu60,1
145,Ca40Mg60,0
146,Ca41Ag59,0
147,Ca41Al59,0
148,Ca41Cu59,1
149,Ca41Mg59,0
150,Ca42Ag58,0
151,Ca42Al58,0
152,Ca42Cu58,1
153,Ca42Mg58,0
154,Ca43Ag57,0
155,Ca43Al57,0
156,Ca43Cu57,1
157,Ca43Mg57,0
158,Ca44Ag56,0
159,Ca44Al56,0
160,Ca44Cu56,1
161,Ca44Mg56,0
162,Ca45Ag55,0
163,Ca45Al55,0
164,Ca45Cu55,1
165,Ca45Mg55,0
166,Ca46Ag54,0
167,Ca46Al54,0
168,Ca46Cu54,1
169,Ca46Mg54,0
170,Ca47Ag53,0
171,Ca47Al53,0
172,Ca47Cu53,1
173,Ca47Mg53,0
174,Ca48Ag52,0
175,Ca48Al52,0
176,Ca48Cu52,1
177,Ca48Mg52,0
178,Ca49Ag51,0
179,Ca49Al51,0
180,Ca49Cu51,1
181,Ca49Mg51,0
182,Ca5Ag95,0
183,Ca5Al95,0
184,Ca5Cu95,0
185,Ca5Mg95,0
186,Ca50Ag50,0
187,Ca50Al50,0
188,Ca50Cu50,1
189,Ca50Mg50,0
190,Ca51Ag49,0
191,Ca51Al49,0
192,Ca51Cu49,1
193,Ca51Mg49,0
194,Ca52Ag48,0
195,Ca52Al48,0
196,Ca52Cu48,1
197,Ca52Mg48,0
198,Ca53Ag47,0
199,Ca53Al47,0
200,Ca53Cu47,1
201,Ca53Mg47,0
202,Ca54Ag46,0
203,Ca54Al46,0
204,Ca54Cu46,1
205,Ca54Mg46,0
206,Ca55Ag45,0
207,Ca55Al45,1
208,Ca55Cu45,1
209,Ca55Mg45,0
210,Ca56Ag44,0
211,Ca56Al44,1
212,Ca56Cu44,1
213,Ca56Mg44,0
214,Ca57Ag43,0
215,Ca57Al43,1
216,Ca57Cu43,1
217,Ca57Mg43,0
218,Ca58Ag42,0
219,Ca58Al42,1
220,Ca58Cu42,1
221,Ca58Mg42,0
222,Ca59Ag41,1
223,Ca59Al41,1
224,Ca59Cu41,1
225,Ca59Mg41,1
226,Ca6Ag94,0
227,Ca6Al94,0
228,Ca6Cu94,0
229,Ca6Mg94,0
230,Ca60Ag40,1
231,Ca60Al40,1
232,Ca60Cu40,1
233,Ca60Mg40,1
234,Ca61Ag39,1
235,Ca61Al39,1
236,Ca61Cu39,1
237,Ca61Mg39,1
238,Ca62Ag38,1
239,Ca62Al38,1
240,Ca62Cu38,1
241,Ca62Mg38,1
242,Ca63Ag37,1
243,Ca63Al37,1
244,Ca63Cu37,1
245,Ca63Mg37,1
246,Ca64Ag36,1
247,Ca64Al36,1
248,Ca64Cu36,1
249,Ca64Mg36,1
250,Ca65Ag35,1
251,Ca65Al35,1
252,Ca65Cu35,1
253,Ca65Mg35,1
254,Ca66Ag34,1
255,Ca66Al34,1
256,Ca66Cu34,1
257,Ca66Mg34,1
258,Ca67Ag33,1
259,Ca67Al33,1
260,Ca67Cu33,1
261,Ca67Mg33,1
262,Ca68Ag32,1
263,Ca68Al32,1
264,Ca68Cu32,1
265,Ca68Mg32,1
266,Ca69Ag31,1
267,Ca69Al31,1
268,Ca69Cu31,1
269,Ca69Mg31,1
270,Ca7Ag93,0
271,Ca7Al93,0
272,Ca7Cu93,0
273,Ca7Mg93,0
274,Ca70Ag30,1
275,Ca70Al30,1
276,Ca70Cu30,1
277,Ca70Mg30,1
278,Ca71Ag29,1
279,Ca71Al29,1
280,Ca71Cu29,1
281,Ca71Mg29,1
282,Ca72Ag28,1
283,Ca72Al28,1
284,Ca72Cu28,1
285,Ca72Mg28,1
286,Ca73Ag27,1
287,Ca73Al27,1
288,Ca73Cu27,1
289,Ca73Mg27,1
290,Ca74Ag26,1
291,Ca74Al26,1
292,Ca74Cu26,1
293,Ca74Mg26,1
294,Ca75Ag25,1
295,Ca75Al25,1
296,Ca75Cu25,1
297,Ca75Mg25,1
298,Ca76Ag24,1
299,Ca76Al24,1
300,Ca76Cu24,1
301,Ca76Mg24,1
302,Ca77Ag23,1
303,Ca77Al23,1
304,Ca77Cu23,1
305,Ca77Mg23,1
306,Ca78Ag22,1
307,Ca78Al22,1
308,Ca78Cu22,1
309,Ca78Mg22,0
310,Ca79Ag21,1
311,Ca79Al21,1
312,Ca79Cu21,1
313,Ca79Mg21,0
314,Ca8Ag92,0
315,Ca8Al92,0
316,Ca8Cu92,0
317,Ca8Mg92,0
318,Ca80Ag20,1
319,Ca80Al20,1
320,Ca80Cu20,1
321,Ca80Mg20,0
322,Ca81Ag19,1
323,Ca81Al19,1
324,Ca81Cu19,1
325,Ca81Mg19,0
326,Ca82Ag18,1
327,Ca82Al18,1
328,Ca82Cu18,1
329,Ca82Mg18,0
330,Ca83Ag17,1
331,Ca83Al17,1
332,Ca83Cu17,1
333,Ca83Mg17,0
334,Ca84Ag16,1
335,Ca84Al16,1
336,Ca84Cu16,1
337,Ca84Mg16,0
338,Ca85Ag15,1
339,Ca85Al15,1
340,Ca85Cu15,1
341,Ca85Mg15,0
342,Ca86Ag14,1
343,Ca86Al14,0
344,Ca86Cu14,1
345,Ca86Mg14,0
346,Ca87Ag13,1
347,Ca87Al13,0
348,Ca87Cu13,1
349,Ca87Mg13,0
350,Ca88Ag12,0
351,Ca88Al12,0
352,Ca88Cu12,0
353,Ca88Mg12,0
354,Ca89Ag11,0
355,Ca89Al11,0
356,Ca89Cu11,0
357,Ca89Mg11,0
358,Ca9Ag91,0
359,Ca9Al91,1
360,Ca9Cu91,0
361,Ca9Mg91,0
362,Ca90Ag10,0
363,Ca90Al10,0
364,Ca90Cu10,0
365,Ca90Mg10,0
366,Ca91Ag9,0
367,Ca91Al9,0
368,Ca91Cu9,0
369,Ca91Mg9,0
370,Ca92Ag8,0
371,Ca92Al8,0
372,Ca92Cu8,0
373,Ca92Mg8,0
374,Ca93Ag7,0
375,Ca93Al7,0
376,Ca93Cu7,0
377,Ca93Mg7,0
378,Ca94Ag6,0
379,Ca94Al6,0
380,Ca94Cu6,0
381,Ca94Mg6,0
382,Ca95Ag5,0
383,Ca95Al5,0
384,Ca95Cu5,0
385,Ca95Mg5,0
386,Ca96Ag4,0
387,Ca96Al4,0
388,Ca96Cu4,0
389,Ca96Mg4,0
390,Ca97Ag3,0
391,Ca97Al3,0
392,Ca97Cu3,0
393,Ca97Mg3,0
394,Ca98Ag2,0
395,Ca98Al2,0
396,Ca98Cu2,0
397,Ca98Mg2,0
398,Ca99Ag1,0
399,Ca99Al1,0
400,Ca99Cu1,0
401,Ca99Mg1,0
402,Ce1Al99,0
403,Ce10Al90,1
404,Ce100,0
405,Ce11Al89,1
406,Ce12Al88,1
407,Ce13Al87,0
408,Ce14Al86,0
409,Ce15Al85,0
410,Ce16Al84,0
411,Ce17Al83,0
412,Ce18Al82,0
413,Ce19Al81,0
414,Ce2Al98,0
415,Ce20Al80,0
416,Ce21Al79,0
417,Ce22Al78,0
418,Ce23Al77,0
419,Ce24Al76,0
420,Ce25Al75,0
421,Ce26Al74,0
422,Ce27Al73,0
423,Ce28Al72,0
424,Ce29Al71,0
425,Ce3Al97,0
426,Ce30Al70,0
427,Ce31Al69,0
428,Ce32Al68,0
429,Ce33Al67,0
430,Ce34Al66,0
431,Ce35Al65,0
432,Ce36Al64,0
433,Ce37Al63,0
434,Ce38Al62,0
435,Ce39Al61,0
436,Ce4Al96,0
437,Ce40Al60,0
438,Ce41Al59,0
439,Ce42Al58,0
440,Ce43Al57,0
441,Ce44Al56,0
442,Ce45Al55,0
443,Ce46Al54,0
444,Ce47Al53,0
445,Ce48Al52,0
446,Ce49Al51,0
447,Ce5Al95,0
448,Ce50Al50,0
449,Ce51Al49,0
450,Ce52Al48,0
451,Ce53Al47,0
452,Ce54Al46,0
453,Ce55Al45,0
454,Ce56Al44,0
455,Ce57Al43,0
456,Ce58Al42,0
457,Ce59Al41,0
458,Ce6Al94,0
459,Ce60Al40,0
460,Ce61Al39,0
461,Ce62Al38,0
462,Ce63Al37,0
463,Ce64Al36,0
464,Ce65Al35,0
465,Ce66Al34,0
466,Ce67Al33,0
467,Ce68Al32,0
468,Ce69Al31,0
469,Ce7Al93,1
470,Ce70Al30,0
471,Ce71Al29,0
472,Ce72Al28,0
473,Ce73Al27,0
474,Ce74Al26,0
475,Ce75Al25,0
476,Ce76Al24,0
477,Ce77Al23,0
478,Ce78Al22,0
479,Ce79Al21,0
480,Ce8Al92,1
481,Ce80Al20,0
482,Ce81Al19,0
483,Ce82Al18,0
484,Ce83Al17,0
485,Ce84Al16,0
486,Ce85Al15,0
487,Ce86Al14,0
488,Ce87Al13,0
489,Ce88Al12,0
490,Ce89Al11,0
491,Ce9Al91,1
492,Ce90Al10,0
493,Ce91Al9,0
494,Ce92Al8,0
495,Ce93Al7,0
496,Ce94Al6,0
497,Ce95Al5,0
498,Ce96Al4,0
499,Ce97Al3,0
500,Ce98Al2,0
501,Ce99Al1,0
502,Co100,0
503,Cr1Co99,0
504,Cr1Fe99,0
505,Cr1Mo99,0
506,Cr1Ni99,0
507,Cr10Co90,0
508,Cr10Fe90,0
509,Cr10Mo90,0
510,Cr10Ni90,0
511,Cr100,0
512,Cr11Co89,0
513,Cr11Fe89,0
514,Cr11Mo89,0
515,Cr11Ni89,0
516,Cr12Co88,0
517,Cr12Fe88,0
518,Cr12Mo88,0
519,Cr12Ni88,0
520,Cr13Co87,0
521,Cr13Fe87,0
522,Cr13Mo87,0
523,Cr13Ni87,0
524,Cr14Co86,0
525,Cr14Fe86,0
526,Cr14Mo86,0
527,Cr14Ni86,0
528,Cr15Co85,0
529,Cr15Fe85,0
530,Cr15Mo85,0
531,Cr15Ni85,0
532,Cr16Co84,0
533,Cr16Fe84,0
534,Cr16Mo84,0
535,Cr16Ni84,0
536,Cr17Co83,0
537,Cr17Fe83,0
538,Cr17Mo83,0
539,Cr17Ni83,0
540,Cr18Co82,0
541,Cr18Fe82,0
542,Cr18Mo82,0
543,Cr18Ni82,0
544,Cr19Co81,0
545,Cr19Fe81,0
546,Cr19Mo81,0
547,Cr19Ni81,0
548,Cr2Co98,0
549,Cr2Fe98,0
550,Cr2Mo98,0
551,Cr2Ni98,0
552,Cr20Co80,0
553,Cr20Fe80,0
554,Cr20Mo80,0
555,Cr20Ni80,0
556,Cr21Co79,0
557,Cr21Fe79,0
558,Cr21Mo79,0
559,Cr21Ni79,0
560,Cr22Co78,0
561,Cr22Fe78,0
562,Cr22Mo78,0
563,Cr22Ni78,0
564,Cr23Co77,0
565,Cr23Fe77,0
566,Cr23Mo77,0
567,Cr23Ni77,0
568,Cr24Co76,0
569,Cr24Fe76,0
570,Cr24Mo76,0
571,Cr24Ni76,0
572,Cr25Co75,0
573,Cr25Fe75,0
574,Cr25Mo75,0
575,Cr25Ni75,0
576,Cr26Co74,0
577,Cr26Fe74,0
578,Cr26Mo74,0
579,Cr26Ni74,0
580,Cr27Co73,0
581,Cr27Fe73,0
582,Cr27Mo73,0
583,Cr27Ni73,0
584,Cr28Co72,0
585,Cr28Fe72,0
586,Cr28Mo72,0
587,Cr28Ni72,0
588,Cr29Co71,0
589,Cr29Fe71,0
590,Cr29Mo71,0
591,Cr29Ni71,0
592,Cr3Co97,0
593,Cr3Fe97,0
594,Cr3Mo97,0
595,Cr3Ni97,0
596,Cr30Co70,0
597,Cr30Fe70,0
598,Cr30Mo70,0
599,Cr30Ni70,0
600,Cr31Co69,0
601,Cr31Fe69,0
602,Cr31Mo69,0
603,Cr31Ni69,0
604,Cr32Co68,0
605,Cr32Fe68,0
606,Cr32Mo68,0
607,Cr32Ni68,0
608,Cr33Co67,0
609,Cr33Fe67,0
610,Cr33Mo67,0
611,Cr33Ni67,0
612,Cr34Co66,0
613,Cr34Fe66,0
614,Cr34Mo66,0
615,Cr34Ni66,0
616,Cr35Co65,0
617,Cr35Fe65,0
618,Cr35Mo65,0
619,Cr35Ni65,0
620,Cr36Co64,0
621,Cr36Fe64,0
622,Cr36Mo64,0
623,Cr36Ni64,0
624,Cr37Co63,0
625,Cr37Fe63,0
626,Cr37Mo63,0
627,Cr37Ni63,0
628,Cr38Co62,0
629,Cr38Fe62,0
630,Cr38Mo62,0
631,Cr38Ni62,0
632,Cr39Co61,0
633,Cr39Fe61,0
634,Cr39Mo61,0
635,Cr39Ni61,0
636,Cr4Co96,0
637,Cr4Fe96,0
638,Cr4Mo96,0
639,Cr4Ni96,0
640,Cr40Co60,0
641,Cr40Fe60,0
642,Cr40Mo60,0
643,Cr40Ni60,0
644,Cr41Co59,0
645,Cr41Fe59,1
646,Cr41Mo59,0
647,Cr41Ni59,0
648,Cr42Co58,0
649,Cr42Fe58,1
650,Cr42Mo58,0
651,Cr42Ni58,0
652,Cr43Co57,0
653,Cr43Fe57,1
654,Cr43Mo57,0
655,Cr43Ni57,0
656,Cr44Co56,1
657,Cr44Fe56,1
658,Cr44Mo56,0
659,Cr44Ni56,0
660,Cr45Co55,1
661,Cr45Fe55,1
662,Cr45Mo55,0
663,Cr45Ni55,0
664,Cr46Co54,1
665,Cr46Fe54,1
666,Cr46Mo54,0
667,Cr46Ni54,0
668,Cr47Co53,1
669,Cr47Fe53,1
670,Cr47Mo53,0
671,Cr47Ni53,0
672,Cr48Co52,1
673,Cr48Fe52,1
674,Cr48Mo52,0
675,Cr48Ni52,0
676,Cr49Co51,1
677,Cr49Fe51,1
678,Cr49Mo51,0
679,Cr49Ni51,1
680,Cr5Co95,0
681,Cr5Fe95,0
682,Cr5Mo95,0
683,Cr5Ni95,0
684,Cr50Co50,1
685,Cr50Fe50,1
686,Cr50Mo50,0
687,Cr50Ni50,1
688,Cr51Co49,1
689,Cr51Fe49,1
690,Cr51Mo49,0
691,Cr51Ni49,1
692,Cr52Co48,1
693,Cr52Fe48,1
694,Cr52Mo48,0
695,Cr52Ni48,1
696,Cr53Co47,1
697,Cr53Fe47,1
698,Cr53Mo47,0
699,Cr53Ni47,1
700,Cr54Co46,1
701,Cr54Fe46,1
702,Cr54Mo46,0
703,Cr54Ni46,1
704,Cr55Co45,1
705,Cr55Fe45,1
706,Cr55Mo45,0
707,Cr55Ni45,1
708,Cr56Co44,1
709,Cr56Fe44,1
710,Cr56Mo44,0
711,Cr56Ni44,1
712,Cr57Co43,1
713,Cr57Fe43,1
714,Cr57Mo43,0
715,Cr57Ni43,1
716,Cr58Co42,1
717,Cr58Fe42,1
718,Cr58Mo42,0
719,Cr58Ni42,1
720,Cr59Co41,1
721,Cr59Fe41,1
722,Cr59Mo41,0
723,Cr59Ni41,1
724,Cr6Co94,0
725,Cr6Fe94,0
726,Cr6Mo94,0
727,Cr6Ni94,0
728,Cr60Co40,1
729,Cr60Fe40,1
730,Cr60Mo40,0
731,Cr60Ni40,1
732,Cr61Co39,1
733,Cr61Fe39,1
734,Cr61Mo39,0
735,Cr61Ni39,1
736,Cr62Co38,1
737,Cr62Fe38,1
738,Cr62Mo38,0
739,Cr62Ni38,1
740,Cr63Co37,1
741,Cr63Fe37,1
742,Cr63Mo37,0
743,Cr63Ni37,1
744,Cr64Co36,1
745,Cr64Fe36,1
746,Cr64Mo36,0
747,Cr64Ni36,1
748,Cr65Co35,1
749,Cr65Fe35,1
750,Cr65Mo35,0
751,Cr65Ni35,1
752,Cr66Co34,1
753,Cr66Fe34,1
754,Cr66Mo34,0
755,Cr66Ni34,1
756,Cr67Co33,1
757,Cr67Fe33,1
758,Cr67Mo33,0
759,Cr67Ni33,1
760,Cr68Co32,1
761,Cr68Fe32,1
762,Cr68Mo32,0
763,Cr68Ni32,1
764,Cr69Co31,1
765,Cr69Fe31,1
766,Cr69Mo31,0
767,Cr69Ni31,1
768,Cr7Co93,0
769,Cr7Fe93,0
770,Cr7Mo93,0
771,Cr7Ni93,0
772,Cr70Co30,1
773,Cr70Fe30,1
774,Cr70Mo30,0
775,Cr70Ni30,1
776,Cr71Co29,1
777,Cr71Fe29,1
778,Cr71Mo29,0
779,Cr71Ni29,1
780,Cr72Co28,1
781,Cr72Fe28,1
782,Cr72Mo28,0
783,Cr72Ni28,1
784,Cr73Co27,1
785,Cr73Fe27,1
786,Cr73Mo27,0
787,Cr73Ni27,1
788,Cr74Co26,1
789,Cr74Fe26,1
790,Cr74Mo26,0
791,Cr74Ni26,0
792,Cr75Co25,1
793,Cr75Fe25,1
794,Cr75Mo25,0
795,Cr75Ni25,0
796,Cr76Co24,1
797,Cr76Fe24,1
798,Cr76Mo24,0
799,Cr76Ni24,0
800,Cr77Co23,1
801,Cr77Fe23,1
802,Cr77Mo23,1
803,Cr77Ni23,0
804,Cr78Co22,1
805,Cr78Fe22,1
806,Cr78Mo22,1
807,Cr78Ni22,0
808,Cr79Co21,1
809,Cr79Fe21,1
810,Cr79Mo21,1
811,Cr79Ni21,0
812,Cr8Co92,0
813,Cr8Fe92,0
814,Cr8Mo92,0
815,Cr8Ni92,0
816,Cr80Co20,1
817,Cr80Fe20,1
818,Cr80Mo20,1
819,Cr80Ni20,0
820,Cr81Co19,1
821,Cr81Fe19,1
822,Cr81Mo19,1
823,Cr81Ni19,0
824,Cr82Co18,1
825,Cr82Fe18,1
826,Cr82Mo18,1
827,Cr82Ni18,0
828,Cr83Co17,1
829,Cr83Fe17,1
830,Cr83Mo17,1
831,Cr83Ni17,0
832,Cr84Co16,1
833,Cr84Fe16,1
834,Cr84Mo16,1
835,Cr84Ni16,0
836,Cr85Co15,1
837,Cr85Fe15,1
838,Cr85Mo15,1
839,Cr85Ni15,0
840,Cr86Co14,0
841,Cr86Fe14,1
842,Cr86Mo14,1
843,Cr86Ni14,0
844,Cr87Co13,0
845,Cr87Fe13,1
846,Cr87Mo13,1
847,Cr87Ni13,0
848,Cr88Co12,0
849,Cr88Fe12,1
850,Cr88Mo12,1
851,Cr88Ni12,0
852,Cr89Co11,0
853,Cr89Fe11,1
854,Cr89Mo11,1
855,Cr89Ni11,0
856,Cr9Co91,0
857,Cr9Fe91,0
858,Cr9Mo91,0
859,Cr9Ni91,0
860,Cr90Co10,0
861,Cr90Fe10,1
862,Cr90Mo10,1
863,Cr90Ni10,0
864,Cr91Co9,0
865,Cr91Fe9,1
866,Cr91Mo9,1
867,Cr91Ni9,0
868,Cr92Co8,0
869,Cr92Fe8,0
870,Cr92Mo8,1
871,Cr92Ni8,0
872,Cr93Co7,0
873,Cr93Fe7,0
874,Cr93Mo7,1
875,Cr93Ni7,0
876,Cr94Co6,0
877,Cr94Fe6,0
878,Cr94Mo6,0
879,Cr94Ni6,0
880,Cr95Co5,0
881,Cr95Fe5,0
882,Cr95Mo5,0
883,Cr95Ni5,0
884,Cr96Co4,0
885,Cr96Fe4,0
886,Cr96Mo4,0
887,Cr96Ni4,0
888,Cr97Co3,0
889,Cr97Fe3,0
890,Cr97Mo3,0
891,Cr97Ni3,0
892,Cr98Co2,0
893,Cr98Fe2,0
894,Cr98Mo2,0
895,Cr98Ni2,0
896,Cr99Co1,0
897,Cr99Fe1,0
898,Cr99Mo1,0
899,Cr99Ni1,0
900,Cu100,0
901,Dy1Al99,0
902,Dy10Al90,1
903,Dy100,0
904,Dy11Al89,1
905,Dy12Al88,1
906,Dy13Al87,0
907,Dy14Al86,0
908,Dy15Al85,0
909,Dy16Al84,0
910,Dy17Al83,0
911,Dy18Al82,0
912,Dy19Al81,0
913,Dy2Al98,0
914,Dy20Al80,0
915,Dy21Al79,0
916,Dy22Al78,0
917,Dy23Al77,0
918,Dy24Al76,0
919,Dy25Al75,0
920,Dy26Al74,0
921,Dy27Al73,0
922,Dy28Al72,0
923,Dy29Al71,0
924,Dy3Al97,0
925,Dy30Al70,0
926,Dy31Al69,0
927,Dy32Al68,0
928,Dy33Al67,0
929,Dy34Al66,0
930,Dy35Al65,0
931,Dy36Al64,0
932,Dy37Al63,0
933,Dy38Al62,0
934,Dy39Al61,0
935,Dy4Al96,0
936,Dy40Al60,0
937,Dy41Al59,0
938,Dy42Al58,0
939,Dy43Al57,0
940,Dy44Al56,0
941,Dy45Al55,0
942,Dy46Al54,0
943,Dy47Al53,0
944,Dy48Al52,0
945,Dy49Al51,0
946,Dy5Al95,0
947,Dy50Al50,0
948,Dy51Al49,0
949,Dy52Al48,0
950,Dy53Al47,0
951,Dy54Al46,0
952,Dy55Al45,0
953,Dy56Al44,0
954,Dy57Al43,0
955,Dy58Al42,0
956,Dy59Al41,0
957,Dy6Al94,0
958,Dy60Al40,0
959,Dy61Al39,0
960,Dy62Al38,0
961,Dy63Al37,0
962,Dy64Al36,0
