,Unnamed: 0,nsites,space_group,volume,eij_max
0,0,2.0,216.0,73.2195833241,0.091464
1,1,2.0,216.0,72.8272079484,0.004848
2,2,2.0,216.0,11.9172094079,0.517745
3,3,2.0,216.0,40.4756751405,0.030692
4,4,2.0,216.0,59.1456154302,0.068884
5,5,2.0,216.0,24.818433116399998,0.378684
6,6,2.0,216.0,47.3376454287,0.032961000000000004
7,7,2.0,216.0,13.9805480869,0.06907999999999999
8,8,2.0,216.0,23.4804762501,0.074259
9,9,2.0,216.0,54.93133766,0.078345
10,10,2.0,216.0,23.499693655,0.012228
11,11,2.0,216.0,24.81667048,0.19127
12,12,2.0,216.0,46.2527357237,0.193647
13,13,2.0,216.0,54.0138265644,0.141287
14,14,2.0,216.0,52.418232898599996,0.114685
15,15,2.0,216.0,69.05665589680001,0.089395
16,16,2.0,216.0,60.5606242212,0.056721
17,17,2.0,216.0,39.4673826504,0.30995
18,18,2.0,216.0,21.000595641500002,0.083797
19,19,2.0,216.0,46.2742587821,0.179525
20,20,2.0,216.0,21.3169782775,0.285852
21,21,2.0,216.0,59.952796101800004,0.042499
22,22,2.0,216.0,41.736858953,0.117793
23,23,2.0,216.0,47.1256605779,0.044071
24,24,2.0,216.0,27.9820320941,0.027774
25,25,2.0,216.0,28.955804656999998,0.110072
26,26,2.0,216.0,52.8399833962,0.057048
27,27,2.0,216.0,41.7553308856,0.00035800000000000003
28,28,2.0,216.0,45.505511938699996,0.097226
29,29,2.0,216.0,34.8236764116,0.120108
30,30,2.0,216.0,63.4004344505,0.14651
31,31,3.0,216.0,52.3552561909,0.283006
32,32,3.0,216.0,53.4209297795,0.422794
33,33,3.0,216.0,63.4232905084,0.134952
34,34,3.0,216.0,59.6433548946,0.8373370000000001
35,35,3.0,216.0,53.1671135998,1.338533
36,36,3.0,216.0,30.0596171971,0.293646
37,37,3.0,216.0,64.6226315002,0.164743
38,38,3.0,216.0,57.045654235,0.074347
39,39,3.0,216.0,51.176825379600004,0.651209
40,40,3.0,216.0,76.1775939473,0.136235
41,41,3.0,216.0,63.957433375600004,0.154928
42,42,3.0,216.0,71.3232683171,0.408312
43,43,3.0,216.0,62.2694983041,0.159374
44,44,3.0,216.0,74.09857402680001,0.19552
45,45,3.0,216.0,70.7935627119,0.163571
46,46,3.0,216.0,64.42130046529999,0.038963
47,47,3.0,216.0,64.81862282109999,0.18297
48,48,3.0,216.0,47.7213324634,0.398655
49,49,3.0,216.0,80.3345007275,0.015918
50,50,3.0,216.0,59.9678425179,0.067619
51,51,3.0,216.0,55.2136727938,1.238672
52,52,3.0,216.0,60.6512466548,0.395647
53,53,3.0,216.0,59.3955927884,0.670725
54,54,3.0,216.0,70.6694287077,0.29222
55,55,3.0,216.0,72.3752279917,0.200779
56,56,3.0,216.0,71.2695409671,0.203926
57,57,3.0,216.0,65.3123990524,0.15895
58,58,3.0,216.0,48.5076125789,2.125692
59,59,3.0,216.0,71.7544396817,0.199215
60,60,3.0,216.0,69.6390147559,0.091743
61,61,3.0,216.0,66.3601475604,0.166302
62,62,3.0,216.0,50.9976140897,0.063584
63,63,3.0,216.0,64.4224646622,0.232449
64,64,3.0,216.0,60.5041180354,0.092503
65,65,3.0,216.0,79.3111706147,0.28273200000000004
66,66,3.0,216.0,45.1962279979,0.558571
67,67,3.0,216.0,47.958072637,0.752663
68,68,3.0,216.0,46.4549702997,0.565228
69,69,3.0,216.0,54.4434705742,0.09783
70,70,3.0,216.0,53.3503106714,0.488148
71,71,3.0,216.0,43.1745158771,0.541179
72,72,3.0,216.0,31.4712667964,0.23661
73,73,3.0,216.0,40.261107857199995,0.517976
74,74,4.0,216.0,63.5200920813,0.328091
75,75,4.0,216.0,71.729938592,0.119379
76,76,4.0,198.0,173.526210051,6e-06
77,77,5.0,217.0,87.5788835315,0.046294
78,78,5.0,217.0,90.6071880785,0.070637
79,79,6.0,216.0,111.005853822,0.049192
80,80,6.0,216.0,117.588221066,0.019166
81,81,6.0,216.0,117.984344669,0.117523
82,82,6.0,216.0,57.291298363100005,0.06407
83,83,6.0,215.0,58.280853635,0.112676
84,84,6.0,215.0,67.0025189751,0.07509
85,85,7.0,215.0,154.82277049700002,0.196767
86,86,7.0,215.0,201.353885622,0.175655
87,87,8.0,215.0,158.59241505100002,0.062311
88,88,8.0,215.0,186.21336445900002,0.019089
89,89,8.0,198.0,106.837313438,0.752108
90,90,8.0,198.0,110.184736497,0.7725350000000001
91,91,8.0,198.0,202.51664049200002,0.000537
92,92,8.0,215.0,180.413874086,0.093721
93,93,8.0,215.0,169.427163336,0.024235
94,94,8.0,215.0,168.64670629399998,0.00199
95,95,8.0,215.0,186.37574495599998,0.036481
96,96,8.0,215.0,233.98002729900003,0.003043
97,97,8.0,215.0,227.549223685,0.003006
98,98,8.0,215.0,211.221228252,0.040873
99,99,5.0,215.0,298.93892245,0.015419
100,100,6.0,216.0,133.136310637,0.03022
101,101,6.0,216.0,121.344091075,0.276324
102,102,6.0,216.0,94.6928738634,0.531482
103,103,8.0,217.0,216.809137622,0.459594
104,104,8.0,215.0,214.668400365,0.037389
105,105,8.0,217.0,243.81174261599998,0.392544
106,106,8.0,217.0,262.739894032,0.217369
107,107,8.0,217.0,226.02189649599998,0.238834
108,108,8.0,217.0,241.05413976900002,0.229499
109,109,2.0,216.0,47.5318726451,0.171565
110,110,3.0,216.0,62.8158170917,0.113105
111,111,3.0,216.0,58.511375094499996,0.004311
112,112,3.0,216.0,72.7228164426,0.266463
113,113,3.0,216.0,69.3492897374,0.199157
114,114,3.0,216.0,57.151729414799995,0.085779
115,115,3.0,216.0,68.0737391907,0.11466400000000003
116,116,3.0,216.0,68.578199897,0.177716
117,117,3.0,216.0,65.4498150933,0.066109
118,118,3.0,216.0,61.2078051882,0.009161
119,119,4.0,216.0,73.8823092105,0.021195
120,120,4.0,216.0,58.832521676300004,0.720943
121,121,4.0,216.0,52.862702131199995,0.094114
122,122,6.0,216.0,86.4925825175,0.583697
123,123,7.0,215.0,167.581810474,0.275469
124,124,7.0,216.0,157.843297881,0.16211
125,125,8.0,198.0,88.13336945280001,0.65927
126,126,8.0,198.0,119.521990511,0.614064
127,127,10.0,216.0,134.783891808,0.168811
128,128,10.0,216.0,132.553278499,0.032695
129,129,10.0,216.0,134.114379708,0.135493
130,130,10.0,216.0,140.58330498,0.06857200000000001
131,131,10.0,216.0,131.274130461,0.029855
132,132,10.0,216.0,142.73991272,0.072625
133,133,11.0,217.0,230.393097035,1.336073
134,134,12.0,198.0,192.367405385,0.335908
135,135,12.0,198.0,227.45765736299998,0.006795000000000001
136,136,12.0,198.0,185.058559035,0.35478200000000004
137,137,12.0,198.0,174.119848253,0.071135
138,138,12.0,198.0,204.064121457,0.185197
139,139,12.0,216.0,256.17464042299997,0.117362
140,140,12.0,216.0,112.06534628200001,0.03639
141,141,12.0,216.0,145.405239188,0.217765
142,142,6.0,122.0,94.7080071299,0.044229
143,143,6.0,122.0,138.94250559,0.020398
144,144,6.0,121.0,84.95478335140001,0.028027
145,145,7.0,111.0,97.2588385425,0.269118
146,146,8.0,122.0,74.3908538754,0.233298
147,147,8.0,122.0,76.1721335141,0.224297
148,148,8.0,121.0,85.3905715652,0.477234
149,149,8.0,121.0,90.9001869219,0.543962
150,150,8.0,122.0,88.2530261921,0.394263
151,151,8.0,122.0,59.0698708236,0.223767
152,152,8.0,122.0,67.7259238095,0.076628
153,153,8.0,122.0,49.479356135699994,0.191827
154,154,8.0,122.0,86.5142191978,0.405113
155,155,6.0,121.0,89.0362793373,0.048555
156,156,8.0,113.0,206.51021689400002,0.208291
157,157,8.0,122.0,108.427279045,0.803421
158,158,8.0,122.0,169.417714244,0.123405
159,159,8.0,121.0,87.2948758577,0.286851
160,160,8.0,122.0,113.52470447,0.501121
161,161,8.0,121.0,86.5346840632,0.237345
162,162,8.0,121.0,83.72649099729999,0.241234
163,163,6.0,122.0,164.305908964,0.030575
164,164,6.0,122.0,152.309957961,0.0005809999999999999
165,165,7.0,121.0,210.874112832,0.091564
166,166,7.0,111.0,243.75133951900003,0.085792
167,167,7.0,111.0,280.266690614,0.104115
168,168,7.0,111.0,212.493136105,0.097643
169,169,7.0,111.0,169.623776314,0.008254000000000001
170,170,7.0,121.0,158.066786058,0.028623000000000006
171,171,7.0,121.0,179.115136055,0.008647
172,172,7.0,121.0,152.73388383,0.041155
173,173,7.0,121.0,199.141165102,0.084638
174,174,7.0,121.0,149.273767627,0.044448
175,175,7.0,121.0,193.85698441,0.029214
176,176,7.0,111.0,200.795674975,0.008397
177,177,8.0,122.0,245.831011727,0.027734
178,178,8.0,113.0,236.16325747599998,0.166425
179,179,8.0,113.0,241.03635549700002,0.18296
180,180,8.0,113.0,242.042666481,0.191203
181,181,8.0,113.0,239.858640063,0.18496
182,182,8.0,122.0,113.79510978,0.002483
183,183,8.0,122.0,173.81530770400002,0.13531700000000002
184,184,8.0,122.0,149.48509867,0.07647999999999999
185,185,8.0,122.0,202.94216217299999,0.095551
186,186,8.0,122.0,177.68537908099998,0.10456
187,187,8.0,121.0,127.97132129100001,0.501544
188,188,8.0,121.0,95.5160194449,1.483453
189,189,8.0,121.0,141.193615868,0.376736
190,190,8.0,122.0,178.36815311799995,0.061492
191,191,8.0,122.0,152.700890101,0.022913
192,192,8.0,122.0,185.246459097,0.008608
193,193,8.0,122.0,173.74813194,0.047127
194,194,8.0,122.0,217.89431663099998,0.049639
195,195,8.0,122.0,154.878266411,0.031891
196,196,8.0,121.0,170.712372295,1.646216
197,197,8.0,121.0,166.735120161,0.022686
198,198,8.0,122.0,164.24975576100002,0.050728
199,199,8.0,122.0,186.23935144799998,0.047237
200,200,8.0,121.0,165.132339406,0.228486
201,201,8.0,121.0,188.36112165400002,0.072507
202,202,8.0,121.0,160.796066391,1.21272
203,203,8.0,121.0,152.321991334,0.021256
204,204,8.0,113.0,237.895319796,0.175924
205,205,8.0,122.0,177.39211842900002,0.024283
206,206,8.0,121.0,195.46736139400002,0.029197000000000008
207,207,8.0,113.0,236.713907851,0.124958
208,208,8.0,122.0,198.73230569400002,0.008008
209,209,8.0,121.0,130.080019233,0.032865
210,210,8.0,122.0,180.33417229,0.081795
211,211,8.0,121.0,213.800743873,0.117779
212,212,8.0,121.0,154.034192403,0.259998
213,213,8.0,122.0,175.52844893099999,0.091389
214,214,8.0,121.0,168.41109249299998,0.247722
215,215,8.0,121.0,178.71693245900002,0.084235
216,216,8.0,121.0,123.929096591,0.275958
217,217,6.0,122.0,177.823697953,0.039997000000000005
218,218,7.0,121.0,242.337820448,0.07232999999999999
219,219,7.0,121.0,255.617914954,0.080219
220,220,8.0,121.0,164.741549394,0.126842
221,221,8.0,121.0,242.207946145,0.08609800000000001
222,222,8.0,121.0,259.247761204,0.25405500000000003
223,223,8.0,122.0,272.941359898,0.012182
224,224,8.0,122.0,246.59890795400003,0.014911
225,225,8.0,122.0,249.12223872,0.015662
226,226,8.0,122.0,202.53279585200002,0.145808
227,227,8.0,122.0,252.15506729900002,0.024847
228,228,8.0,122.0,223.849689566,0.019180000000000003
229,229,8.0,122.0,225.141925351,0.076711
230,230,8.0,122.0,206.937650723,0.057571
231,231,8.0,122.0,210.01533538400002,0.008214
232,232,8.0,122.0,253.89963181599998,0.021289
233,233,9.0,121.0,157.149936816,0.075421
234,234,9.0,121.0,151.975829379,0.439262
235,235,9.0,121.0,189.569884203,0.002887
236,236,12.0,111.0,146.873983644,0.374775
237,237,12.0,112.0,311.275233443,0.029707
238,238,12.0,112.0,313.62852601599997,0.022218
239,239,12.0,121.0,136.872452062,1.120883
240,240,12.0,121.0,181.956597675,0.210325
241,241,12.0,121.0,192.42011836400002,0.325681
242,242,12.0,121.0,214.358543553,0.143989
243,243,12.0,121.0,213.844753895,0.140254
244,244,12.0,121.0,192.96121914,0.394117
245,245,12.0,121.0,241.45394960299998,0.058267999999999986
246,246,13.0,121.0,231.036773384,0.013508
247,247,6.0,82.0,66.1969942503,0.155476
248,248,6.0,82.0,72.6287199437,0.042097
249,249,6.0,82.0,72.3230101698,0.214414
250,250,6.0,82.0,101.943673998,0.108117
251,251,6.0,82.0,96.28050568440001,0.157919
252,252,6.0,82.0,87.51540565549999,0.01926
253,253,7.0,82.0,72.728001542,0.186009
254,254,7.0,82.0,68.4100107148,0.150988
255,255,6.0,82.0,95.4150647355,0.15016600000000002
256,256,6.0,82.0,101.980553844,0.150473
257,257,7.0,82.0,89.21893728719999,0.189043
258,258,7.0,82.0,86.5345069937,0.138035
259,259,7.0,82.0,98.5600986874,0.234528
260,260,7.0,82.0,91.9294205494,0.22199
261,261,7.0,82.0,91.00748197809999,0.219852
262,262,7.0,82.0,106.56414046299999,0.242328
263,263,7.0,82.0,77.7802563163,0.236009
264,264,7.0,82.0,88.6931861303,0.184843
265,265,7.0,82.0,85.826562639,0.150095
266,266,6.0,82.0,154.39681225200002,0.068301
267,267,7.0,82.0,212.015731091,0.086248
268,268,7.0,82.0,158.366724405,0.048602
269,269,7.0,82.0,189.718560318,0.049385000000000005
270,270,7.0,82.0,165.252793351,0.088818
271,271,7.0,82.0,188.885449148,0.113456
272,272,7.0,82.0,179.245834169,0.031036
273,273,7.0,82.0,151.24368553899998,0.043856
274,274,7.0,82.0,163.082928685,0.132069
275,275,7.0,82.0,165.96436137700002,0.13878900000000002
276,276,7.0,82.0,188.090208458,0.08679500000000001
277,277,7.0,82.0,190.57990781400002,0.07749
278,278,7.0,82.0,211.348658097,0.125737
279,279,7.0,82.0,153.98992959,0.035061
280,280,7.0,82.0,147.218893696,0.077081
281,281,7.0,82.0,175.603559444,0.026644
282,282,7.0,82.0,198.66661296900003,0.076914
283,283,7.0,82.0,236.478202208,0.062831
284,284,7.0,82.0,174.34518186900002,0.042905
285,285,7.0,82.0,236.55601932599998,0.050632
286,286,7.0,82.0,213.493095373,0.096115
287,287,7.0,82.0,163.742533893,0.172727
288,288,7.0,82.0,222.233375406,0.030024
289,289,7.0,82.0,89.8792022466,0.213711
290,290,7.0,82.0,88.32261278809997,0.196928
291,291,7.0,82.0,99.7554327066,0.172302
292,292,6.0,82.0,242.607027985,0.020387
293,293,6.0,82.0,77.83670538289998,0.199557
294,294,7.0,82.0,281.162297954,0.089257
295,295,7.0,82.0,236.18381062900002,0.043711
296,296,7.0,82.0,221.74431781200002,0.037002
297,297,7.0,82.0,261.197814024,0.06697
298,298,7.0,82.0,261.562757546,0.068256
299,299,7.0,82.0,245.8968348,0.061121
300,300,7.0,82.0,236.35979968700002,0.039887
301,301,7.0,82.0,84.50865036319999,0.183785
302,302,10.0,82.0,130.761771818,0.484918
303,303,10.0,82.0,131.76632341799998,0.336214
304,304,11.0,82.0,154.801865816,0.06500800000000001
305,305,11.0,82.0,196.720604599,0.028855
306,306,12.0,82.0,156.204362836,1.064162
307,307,12.0,82.0,193.642030564,0.068373
308,308,12.0,82.0,142.168093694,0.036143
309,309,3.0,187.0,98.4395674811,0.21684
310,310,3.0,187.0,77.059930082,0.387163
311,311,3.0,187.0,83.0265559849,0.35139000000000004
312,312,3.0,187.0,68.0403361475,0.62025
313,313,3.0,187.0,49.319385409700004,0.34869
314,314,3.0,187.0,50.4528009963,0.32817
315,315,4.0,187.0,38.7289695212,0.402833
316,316,7.0,187.0,116.57962106,0.354053
317,317,7.0,187.0,121.719916591,0.093787
318,318,2.0,187.0,28.4828209908,0.66598
319,319,3.0,187.0,82.7052199267,0.198063
320,320,7.0,187.0,104.100981294,0.337677
321,321,8.0,187.0,224.85833304599998,0.19825
322,322,9.0,189.0,157.608907777,0.005913
323,323,9.0,189.0,391.880467911,0.667693
324,324,9.0,189.0,128.87972715,0.244087
325,325,9.0,189.0,273.490335923,0.63488
326,326,9.0,189.0,260.890892627,0.021027
327,327,9.0,189.0,248.961651828,0.149057
328,328,9.0,189.0,209.585540631,0.034997
329,329,9.0,189.0,341.99661671,0.089587
330,330,9.0,189.0,162.779981913,0.215767
331,331,9.0,189.0,144.07259287899998,0.287367
332,332,9.0,189.0,149.111295853,0.264137
333,333,9.0,189.0,92.4335927065,1.517583
334,334,9.0,189.0,130.412554583,1.7387
335,335,9.0,189.0,374.75372351699997,0.565087
336,336,12.0,189.0,527.680387785,0.01992
337,337,12.0,189.0,590.136056465,0.022743
338,338,12.0,189.0,275.730788922,0.057167
339,339,12.0,189.0,489.33978172900004,0.045237
340,340,12.0,189.0,431.41701533099996,0.070203
341,341,12.0,189.0,431.11701339300004,0.041263
342,342,12.0,189.0,378.01162761300003,0.06652999999999999
343,343,12.0,189.0,290.887142099,0.098313
344,344,12.0,189.0,343.82262450800005,0.11415
345,345,12.0,189.0,153.90561536299998,0.191913
346,346,3.0,107.0,35.8032147161,0.344731
347,347,4.0,186.0,48.5413017076,2.25674
348,348,4.0,186.0,28.0101304371,0.19632
349,349,4.0,186.0,23.8907724088,1.09478
350,350,4.0,186.0,49.7187230543,1.03681
351,351,4.0,186.0,42.5272833628,1.46115
352,352,4.0,186.0,46.9428273596,0.46451
353,353,4.0,186.0,104.86286284399999,0.33356
354,354,4.0,186.0,110.061038434,0.0983
355,355,4.0,186.0,83.43782258659999,0.10089
356,356,4.0,186.0,94.2439490389,0.01928
357,357,4.0,186.0,83.3948059468,0.27398
358,358,4.0,186.0,42.0055087195,0.27594
359,359,4.0,186.0,48.7399018351,0.82715
360,360,4.0,186.0,32.1240784545,0.3223
361,361,5.0,99.0,71.1046993827,8.72945
362,362,5.0,99.0,68.7489259236,2.876113
363,363,5.0,99.0,69.635438476,2.5790450000000003
364,364,5.0,99.0,71.70397337930001,2.0466
365,365,5.0,99.0,67.5157807737,3.4873300000000005
366,366,5.0,99.0,68.4707663464,3.25783
367,367,5.0,99.0,67.5951363309,3.4477
368,368,6.0,186.0,102.232250244,0.69881
369,369,6.0,186.0,81.8093432478,0.013969999999999998
370,370,6.0,102.0,39.4054314535,0.57821
371,371,6.0,109.0,82.59305994340001,2.987247
372,372,7.0,107.0,87.8469336529,1.98414
373,373,8.0,186.0,162.057460164,0.07275
374,374,8.0,186.0,83.96318312310001,0.06233
375,375,8.0,107.0,112.361246341,0.35042
376,376,8.0,186.0,74.6272174082,0.765324
377,377,8.0,186.0,77.2970610245,0.732927
378,378,8.0,186.0,98.2130066434,1.1669
379,379,4.0,186.0,146.311550544,0.19526
380,380,4.0,186.0,88.1625527586,1.78562
381,381,4.0,186.0,145.822665212,0.025266
382,382,4.0,186.0,138.261815509,0.22304
383,383,6.0,107.0,105.47672156,0.36441
384,384,6.0,186.0,124.956339482,0.5411
385,385,8.0,186.0,130.192389179,0.87603
386,386,8.0,186.0,125.87762761,0.85945
387,387,4.0,186.0,159.518909085,2.25966
388,388,6.0,186.0,204.88329293599998,0.00131
389,389,6.0,186.0,227.725039103,0.133188
390,390,6.0,186.0,244.114985768,0.00612
391,391,6.0,186.0,196.157851072,0.213373
392,392,6.0,186.0,226.762776677,0.18281
393,393,6.0,186.0,157.033662053,0.29939
394,394,8.0,186.0,142.407783935,0.5106890000000001
395,395,8.0,186.0,294.95447205,0.100127
396,396,8.0,186.0,152.709632851,0.46589
397,397,4.0,186.0,134.038284323,0.17284000000000002
398,398,4.0,186.0,64.4149225282,2.158723
399,399,4.0,186.0,81.0743208329,0.08771
400,400,4.0,186.0,119.893368723,0.15705999999999998
401,401,4.0,186.0,94.8044294905,0.0587
402,402,4.0,186.0,95.04547155190001,0.50648
403,403,6.0,186.0,132.69936264700002,0.48507
404,404,6.0,186.0,298.18273027099997,0.002024
405,405,6.0,186.0,108.226325101,0.42521
406,406,9.0,99.0,120.81338495600001,2.49392
407,407,10.0,99.0,142.43136003200001,1.6781
408,408,10.0,99.0,140.362327551,1.751137
409,409,10.0,107.0,202.486630373,0.389381
410,410,10.0,107.0,150.446898545,0.52847
411,411,10.0,107.0,212.49607208,0.12394
412,412,10.0,107.0,200.18661696700002,0.844677
413,413,10.0,107.0,225.062635581,0.11868
414,414,10.0,107.0,152.041746365,0.58772
415,415,10.0,107.0,225.54454819,0.327353
416,416,10.0,109.0,303.914726586,0.045751
417,417,10.0,186.0,136.902597099,27.4628
418,418,10.0,186.0,111.930404918,0.07622000000000001
419,419,12.0,107.0,184.53584219400003,2.74012
420,420,12.0,109.0,139.51720284,0.6507
421,421,12.0,109.0,127.517545561,1.03034
422,422,12.0,109.0,138.338529392,0.91195
423,423,12.0,109.0,126.351076866,2.90685
424,424,12.0,109.0,135.835817851,0.43279
425,425,12.0,109.0,127.373682977,2.502636
426,426,12.0,109.0,137.80920616,0.033638
427,427,12.0,109.0,138.763901825,0.10515
428,428,12.0,109.0,140.62637198299998,0.79732
429,429,12.0,109.0,137.227732445,0.967463
430,430,12.0,109.0,138.47684769100002,0.13945
431,431,12.0,186.0,481.172674733,0.002258
432,432,12.0,186.0,125.95656276,0.03525
433,433,12.0,186.0,560.851298965,0.004737
434,434,12.0,186.0,214.89076388200002,0.36332
435,435,12.0,186.0,123.38353879299999,0.08069
436,436,12.0,186.0,101.53104307299999,0.07801
437,437,13.0,99.0,198.005773932,0.070602
438,438,6.0,79.0,101.12246856799999,2.89625
439,439,6.0,79.0,159.043444564,0.38161
440,440,8.0,173.0,406.95250982199997,0.054052
441,441,10.0,79.0,93.0774679442,2.27252
442,442,10.0,79.0,92.27800879370001,6.52334
443,443,10.0,173.0,140.42016491299998,0.963214
444,444,10.0,173.0,139.666134788,0.955902
445,445,3.0,160.0,52.5936018537,0.285696
446,446,3.0,160.0,31.251516743000003,1.05861
447,447,3.0,160.0,31.251516743000003,1.058611
448,448,4.0,156.0,73.28913124600001,0.5567810000000001
449,449,4.0,160.0,59.1621407912,0.187744
450,450,4.0,160.0,34.092710591199996,0.8229700000000001
451,451,4.0,160.0,36.3952037089,4.23353
452,452,4.0,156.0,38.917036257199996,0.92595
453,453,5.0,160.0,63.7311756004,0.156802
454,454,5.0,160.0,70.3968596439,0.13559300000000002
455,455,5.0,160.0,46.5361546334,0.179883
456,456,2.0,160.0,56.2649656275,2.134628
457,457,3.0,156.0,125.123193375,0.275163
458,458,3.0,160.0,71.0540638306,0.129185
459,459,3.0,156.0,113.71956305799999,0.29413
460,460,4.0,156.0,69.8478540325,1.04529
461,461,4.0,156.0,85.6151018636,0.33052
462,462,4.0,156.0,76.9106694898,0.6682600000000001
463,463,4.0,156.0,74.8749579363,1.599
464,464,4.0,156.0,91.35145259049999,0.369136
465,465,4.0,156.0,91.39033245969999,0.385767
466,466,4.0,156.0,93.30910924450001,0.3836
467,467,4.0,156.0,94.81248639639999,0.366078
468,468,5.0,160.0,67.5940644242,2.862757
